K	Lag	Month	Obs	SimPAR	SimPARX	SimRIDGE	SimPARX0	SimPARX1	SimPARX2	SimPARX3
223	4	6	703.52184465	953.431259331394	944.176625388928	957.958731582933	951.655778624053	912.337812598028	951.907870330826	988.505199922688
223	4	7	590.50407195	644.618866368237	711.294153470012	692.423624973786	662.106025357399	682.568361936638	659.125092042999	683.019150209195
223	4	7	457.12593855	586.712268569221	591.318270934848	582.845664133758	601.329115230836	592.637857206752	604.845964697863	601.536531049279
223	4	7	535.3213014	537.235753468552	540.569397027944	537.97142357368	549.400149863439	551.345257687978	543.941211107502	540.325670185567
223	4	7	551.24778735	624.619881831657	632.684327703295	601.791754763726	641.115731815703	635.944126258349	620.36247031283	641.239636348506
223	4	7	515.58814305	506.699985931328	496.810893822006	492.362440342781	517.350786409263	514.633632317782	500.222872990194	504.225716938563
223	4	7	255.22446465	468.911517480954	393.126396392934	394.596430607796	477.689220402568	467.512313356856	463.418866269614	417.390373892123
223	4	7	314.06425605	535.632860118329	514.516804783058	506.411437260937	547.717804348562	547.180831892753	535.011989155816	521.084546243081
223	4	7	395.8940277	587.698391473617	628.863066295359	621.450037456146	602.364118242794	608.413248329514	602.805988938544	618.642255090887
223	4	7	439.5033036	532.057044201358	504.453087750793	487.319722356669	543.964742506297	541.154529369336	516.249623972343	515.705333631027
223	4	7	506.75247225	617.364800461743	639.457738956262	620.146549411638	633.501030812018	653.678733939796	623.894477477367	618.382919973722
223	4	7	430.24575375	604.087281515811	623.285539494887	608.299611216353	619.565372245416	616.135346841938	616.495846213517	626.614925100247
223	4	8	374.5561005	456.436485720595	475.592227232265	450.068823331345	479.026704806581	476.448833622571	472.411003190375	481.79742401998
223	4	8	278.72373105	331.374755087382	335.480857612483	331.684199713019	341.13446898005	341.038985467531	338.672224908652	336.284357703913
223	4	8	347.90777505	390.541490249936	400.863178429697	380.475154236919	406.3713192684	409.681000306685	401.175062691105	404.769638285201
223	4	8	347.53656465	412.807192828552	416.120947337748	384.220535126484	430.921335450556	432.217836053353	417.481302619503	426.034372968806
223	4	8	316.83155895	356.450579871339	351.533648249923	330.510306434222	368.782907292449	370.952251448905	358.258002643414	357.349063746261
223	4	8	169.1886555	269.475104085225	247.400876204152	240.893116739397	272.884323788932	269.469658721687	257.527873012399	255.777221550479
223	4	8	216.9123435	333.286946989039	328.55513077048	318.266286728959	343.242839105058	342.425844753804	335.564708336324	332.073406709172
223	4	8	268.7310198	422.6214808518	439.423920889537	420.269318651026	441.742504418226	441.025937367561	437.781073354927	443.049351249245
223	4	8	281.2306275	397.434242376469	387.387175220128	346.119086555853	413.971222107688	415.674855449332	391.487934890491	403.342768394783
223	4	8	304.74210735	438.433821123223	447.476682376877	417.683431924088	459.177086065518	461.708147175958	452.805599592423	450.564119938494
223	4	8	279.11701395	348.091742388421	359.584460482417	349.783967589851	359.566508450099	363.056479029468	357.021635328141	362.432330100974
223	4	9	259.69713795	360.853418882439	386.111793042363	339.130376652164	389.745696121872	384.031855856549	391.844105929028	395.336617427691
223	4	9	232.97567895	258.256883327025	248.423573213812	261.304845519543	249.689539868896	247.479538897318	250.683403005715	257.580886451791
223	4	9	270.3168063	319.50539965805	331.450847912018	300.575529460565	333.300859949853	329.887425734507	334.973458661176	325.542951465912
223	4	9	271.7000163	321.402256401835	334.988419593502	318.075600194457	335.890289145087	332.610395753617	338.641077067921	357.417264297252
223	4	9	208.9721295	329.255010206422	347.166402847091	340.816739434783	346.610207784809	345.107210675452	349.136737122607	382.001322685911
223	4	9	166.0288545	225.654843751383	208.320992422079	223.139811549297	205.183979088965	204.518004662004	210.078140885748	218.417006850301
223	4	9	165.6894285	255.407427368486	246.240275911834	270.087272796379	245.799702392371	245.213324302659	247.077363958664	265.266333480281
223	4	9	205.52661225	279.910019513147	280.49341038363	291.420226115762	279.248579154511	280.373086238262	279.52726908674	283.493073397585
223	4	9	204.77163465	293.847442448446	301.423747422697	291.900298590763	298.274776031653	297.761051258475	303.002195949094	318.860292366948
223	4	9	221.0976819	332.393397269855	347.697199702738	308.019793205836	350.894469690525	345.136001906683	353.616512387021	353.201409905362
223	4	9	230.2419753	281.915294879858	281.133479954573	267.879191943078	281.986012329715	279.074001923799	284.360594799658	279.097582876898
223	4	10	354.256758	340.435242921653	348.18531314158	334.053053381886	348.18531314158	321.221203611239	361.371207659556	352.588918352195
223	4	10	238.74886395	290.454167061993	288.37594203002	298.572800313003	288.37594203002	279.23876899829	292.327124430232	301.625899999794
223	4	10	282.3407271	324.06408286636	328.59492277017	319.972854170125	328.59492277017	320.375398612251	345.438110112114	317.632781387867
223	4	10	275.2753689	332.296812772035	338.446539401481	347.873259241267	338.446539401481	331.742732692104	364.210722913569	356.902383777309
223	4	10	217.59820965	339.983693230651	347.644970570318	369.827771702316	347.644970570318	353.508865927152	375.94803190383	381.771762638407
223	4	10	188.9613972	239.925645195829	227.911474948568	259.695001794763	227.911474948568	214.500025071211	269.146757908578	231.274436002545
223	4	10	156.681396	266.467758321544	259.672837958806	282.402921977725	259.672837958806	264.056831681019	270.142893083073	267.915598331357
223	4	10	219.95001	284.11762812739	280.793383988119	293.86947336594	280.793383988119	281.141777945836	288.094280527804	286.505880621215
223	4	10	247.92533415	302.90729910842	303.277862071864	328.58166764946	303.277862071864	312.97883632045	341.026465705999	314.057777186307
223	4	10	205.2327537	340.778005265209	348.595476385492	345.013725206662	348.595476385492	355.921940212862	371.323552652069	340.141776791063
223	4	10	285.53501025	288.687107715635	286.261407550626	289.749456807582	286.261407550626	269.691645322349	302.241278298239	284.473219992903
223	4	11	738.5015088	531.110792365616	553.084482683519	540.858321403964	536.522318968461	553.084482683519	540.076023280254	528.656032979898
223	4	11	453.36929715	476.508281640119	501.763794767589	459.264439127407	489.365579542491	501.763794767589	501.993027785091	435.368130876842
223	4	11	509.8037256	508.519999227263	523.654951722695	550.103628113064	517.012077931984	523.654951722695	533.072927668299	550.769852626436
223	4	11	446.72380695	515.040004401548	558.256107923076	526.34869102726	522.642994550551	558.256107923076	541.326780472652	481.870532662187
223	4	11	269.85244995	500.441613640456	507.106247306683	417.545781951202	510.035286589646	507.106247306683	525.690274789672	381.334871564608
223	4	11	302.1867495	393.853598199195	424.379975708038	436.940830943045	417.981950519374	424.379975708038	447.073352486208	431.496888208489
223	4	11	316.608921	417.941507207258	410.222879209746	394.082059065917	438.785155963904	410.222879209746	442.084105454748	421.768293636453
223	4	11	461.0392947	451.441083714183	474.42373658216	447.3785884334	467.716624118531	474.42373658216	478.130883304332	437.49311106141
223	4	11	316.8032571	469.293904820321	491.160769669968	482.215004462402	483.134977995206	491.160769669968	497.613639347255	473.247421573831
223	4	11	510.43455765	496.824455435242	487.286434135284	502.479017461762	506.911375533553	487.286434135284	508.659648578784	530.294314890901
223	4	11	767.317599	465.504037230403	508.734749407124	499.325327018281	479.861908753112	508.734749407124	490.179791560923	479.808049223003
223	4	12	1387.62239085	1003.48890415049	1057.34074822706	1036.12010971143	992.520782142125	1012.33743159466	988.730217522624	1013.50517952017
223	4	12	980.222067	909.454894959605	665.502034717262	929.373171390948	888.244596589132	834.893719794859	877.149017910595	809.668128516671
223	4	12	1098.00882405	977.340652837613	1028.77907793164	1024.37629345429	963.524465498295	980.505833653447	943.277232229651	998.564699389378
223	4	12	905.7726036	976.976408455828	942.864807738084	998.260033415651	963.120547649119	993.020629748557	954.199754241313	911.736536492038
223	4	12	296.7476931	946.847603285187	625.143232717408	909.059837724934	929.710115556554	926.323213940443	918.318426689142	722.092789361079
223	4	12	571.43549205	801.975320363812	881.539568885568	963.602866449544	769.05835577963	828.757726979165	740.276099533056	782.993312879985
223	4	12	818.0723808	848.803440567563	935.413735261393	983.167217641391	820.986990892399	888.136567439532	810.894220460481	814.758299077086
223	4	12	1262.1058443	899.6497038022	959.274125507205	992.149100361002	877.371424836595	946.431978876265	868.329539043728	844.428546811421
223	4	12	488.43141435	911.914747775233	870.961727183104	980.518834114215	890.972376366285	891.890815854875	885.279335939148	878.655050143607
223	4	12	572.31584145	934.985018551118	935.619612200877	999.981445501473	916.555459092244	911.617579812909	900.084555735323	946.98388174126
223	4	12	1829.43182925	909.840797635762	917.178435278237	991.165079204491	888.672531752278	901.49650730984	879.364341633944	896.643328208737
223	5	1	2720.31412815	1790.91090681234	1794.79406012969	1846.14414696771	1743.64541909403	1766.96113791705	1760.18006807501	1753.26666984576
223	5	1	1350.09315675	1578.40028590976	1295.10619081911	1809.92756348967	1448.68028532875	1388.48879093657	1494.35305327207	1411.4702218524
223	5	1	2056.2609546	1731.81759397979	1719.5094777023	1847.85900306921	1661.62379189132	1681.72149943517	1743.47302851152	1677.84532059535
223	5	1	1207.9998684	1730.99442584733	1669.44261122835	1833.2212080875	1660.48123300522	1695.3367904886	1697.40954128118	1636.07390322326
223	5	1	927.92736045	1662.90532543613	1391.03285016709	1806.83267728985	1565.97343605161	1562.8279671017	1612.75465194062	1468.11090231865
223	5	1	826.63018335	1335.50357940719	1224.28761719597	1803.74979055043	1111.53920870691	1180.57517196718	1227.54832113512	1117.78875737314
223	5	1	1206.3210831	1441.33202366717	1367.20933169287	1806.04918253153	1258.4292845287	1335.93858579415	1300.23180427497	1255.21314349963
223	5	1	1244.19989655	1556.24120454273	1508.0361147957	1816.15075434143	1417.92343952132	1497.5751960918	1455.46838967461	1402.16329746315
223	5	1	993.0865086	1583.95939004321	1448.50710134215	1817.91153410629	1456.39633211914	1458.19687052886	1480.63786077466	1450.33594497564
223	5	1	936.93686445	1636.09667110949	1545.95538975317	1833.55126486635	1528.76297440062	1523.8552179155	1595.70968498593	1542.8043242126
223	5	2	3298.090608	2220.50725674001	2070.3266587117	2283.67067977623	2041.77172213024	2070.3266587117	2042.21301371785	2010.46996396942
223	5	2	2537.556624	2062.2182602285	1950.18084264902	2303.05447455684	1832.05070222145	1950.18084264902	1875.90669091659	1938.98341972505
223	5	2	2746.8220725	2283.41462442553	2216.38689818501	2495.21570487868	2125.11925481755	2216.38689818501	2218.68203718261	2147.38315140093
223	5	2	1501.65775485	2291.60829838864	2183.43035366879	2381.69431890654	2135.97525680262	2183.43035366879	2153.34361908794	2229.15222090435
223	5	2	1802.3809014	1920.02925194288	1741.33687481348	2222.96487387106	1643.66095628412	1741.33687481348	1715.85621869763	2017.68742355799
223	5	2	2055.2031423	1665.64763652781	1474.47118858042	2115.17799344716	1306.62444075465	1474.47118858042	1415.60910045652	1356.8391656814
223	5	2	2818.38136275	1663.63699029289	1143.34785517004	1695.65253846059	1303.9604856576	1143.34785517004	1315.12182608312	1303.79458370374
223	5	2	1507.91045265	1899.61915876775	1849.69570696033	2343.71615875162	1616.61911729683	1849.69570696033	1712.45380497422	1722.91167859886
223	5	2	2052.7563321	1895.14692367412	1690.14599509512	2156.16542748055	1610.69374202895	1690.14599509512	1674.22032677078	1640.1354449186
223	5	2	1922.85010485	1991.85697368307	1688.88465504894	2139.09101560917	1738.82728744461	1688.88465504894	1837.01023763401	1654.47495749292
223	5	3	3157.8865785	3103.95930506646	3056.56872336343	2978.59005747029	3082.05642974294	2823.16407381538	3019.86991201308	3056.56872336343
223	5	3	2541.1024485	2724.71871687177	2589.36261208723	2941.98046897759	2564.68834179251	2665.2231488773	2642.60234179774	2589.36261208723
